class_name,op,derivative,source,status,gain,offset,angle_deg,scale,sigma,flip_axis
Brown Blight,contrast,UNADJUSTEDNONRAW_thumb_103_aug_contrast.jpg,UNADJUSTEDNONRAW_thumb_103.jpg,ok,1.0937411419751206,-19.17426505645019,,,,
Brown Blight,rotation,UNADJUSTEDNONRAW_thumb_104_aug_rotation.jpg,UNADJUSTEDNONRAW_thumb_104.jpg,ok,,,6.991116966413351,0.9218537601199331,,
Brown Blight,zoom,UNADJUSTEDNONRAW_thumb_104_aug_zoom.jpg,UNADJUSTEDNONRAW_thumb_104.jpg,ok,,,0.990747735271282,1.4384885126790448,,
Brown Blight,blur,UNADJUSTEDNONRAW_thumb_105_aug_blur.jpg,UNADJUSTEDNONRAW_thumb_105.jpg,ok,,,,,0.7500000000000002,
Brown Blight,flip,UNADJUSTEDNONRAW_thumb_105_aug_flip_vertical.jpg,UNADJUSTEDNONRAW_thumb_105.jpg,ok,,,,,,vflip
Brown Blight,flip,UNADJUSTEDNONRAW_thumb_106_aug_flip_vertical.jpg,UNADJUSTEDNONRAW_thumb_106.jpg,ok,,,,,,vflip
Brown Blight,rotation,UNADJUSTEDNONRAW_thumb_106_aug_rotation.jpg,UNADJUSTEDNONRAW_thumb_106.jpg,ok,,,28.02361255379548,0.8078191991506691,,
Brown Blight,rotation,UNADJUSTEDNONRAW_thumb_108_aug_rotation.jpg,UNADJUSTEDNONRAW_thumb_108.jpg,ok,,,29.67951876817585,0.8052557176185742,,
Brown Blight,blur,UNADJUSTEDNONRAW_thumb_10a_aug_blur.jpg,UNADJUSTEDNONRAW_thumb_10a.jpg,ok,,,,,0.6500000000000001,
Brown Blight,zoom,UNADJUSTEDNONRAW_thumb_10a_aug_zoom.jpg,UNADJUSTEDNONRAW_thumb_10a.jpg,ok,,,180.0,0.0,,
Brown Blight,blur,UNADJUSTEDNONRAW_thumb_10c_aug_blur.jpg,UNADJUSTEDNONRAW_thumb_10c.jpg,ok,,,,,0.6500000000000001,
Brown Blight,rotation,UNADJUSTEDNONRAW_thumb_10c_aug_rotation.jpg,UNADJUSTEDNONRAW_thumb_10c.jpg,ok,,,13.185398441186152,0.8743561134453113,,
Brown Blight,rotation,UNADJUSTEDNONRAW_thumb_10d_aug_rotation.jpg,UNADJUSTEDNONRAW_thumb_10d.jpg,ok,,,27.865439645030566,0.8075955631035485,,
Brown Blight,contrast,UNADJUSTEDNONRAW_thumb_10e_aug_contrast.jpg,UNADJUSTEDNONRAW_thumb_10e.jpg,ok,0.9275219339593459,13.464598770838926,,,,
Brown Blight,zoom,UNADJUSTEDNONRAW_thumb_10e_aug_zoom.jpg,UNADJUSTEDNONRAW_thumb_10e.jpg,affine_failed,,,,,,
Brown Blight,blur,UNADJUSTEDNONRAW_thumb_115_aug_blur.jpg,UNADJUSTEDNONRAW_thumb_115.jpg,ok,,,,,0.9500000000000003,
Brown Blight,rotation,UNADJUSTEDNONRAW_thumb_115_aug_rotation.jpg,UNADJUSTEDNONRAW_thumb_115.jpg,ok,,,6.169051099347707,0.9288188780583093,,
Brown Blight,flip,UNADJUSTEDNONRAW_thumb_116_aug_flip_horizontal.jpg,UNADJUSTEDNONRAW_thumb_116.jpg,ok,,,,,,hflip
Brown Blight,flip,UNADJUSTEDNONRAW_thumb_118_aug_flip_vertical.jpg,UNADJUSTEDNONRAW_thumb_118.jpg,ok,,,,,,vflip
Brown Blight,flip,UNADJUSTEDNONRAW_thumb_11b_aug_flip_horizontal.jpg,UNADJUSTEDNONRAW_thumb_11b.jpg,ok,,,,,,hflip
Brown Blight,brightness,UNADJUSTEDNONRAW_thumb_11c_aug_brightness.jpg,UNADJUSTEDNONRAW_thumb_11c.jpg,ok,0.8824763019366613,-0.5735476169117198,,,,
Brown Blight,contrast,UNADJUSTEDNONRAW_thumb_11c_aug_contrast.jpg,UNADJUSTEDNONRAW_thumb_11c.jpg,ok,1.1151451894461935,-22.657255932141027,,,,
Brown Blight,rotation,UNADJUSTEDNONRAW_thumb_11c_aug_rotation.jpg,UNADJUSTEDNONRAW_thumb_11c.jpg,ok,,,20.436436530285395,0.8334571467168003,,
Brown Blight,flip,UNADJUSTEDNONRAW_thumb_11f_aug_flip_vertical.jpg,UNADJUSTEDNONRAW_thumb_11f.jpg,ok,,,,,,vflip
