index,split,class_name,filename,reason
3998,val,Brown Blight,brown_blight_00075.jpg,"near-duplicate of train image brown_blight_00076.jpg (Hamming 6, cosine 0.952)"
3999,val,Brown Blight,brown_blight_00079.jpg,"near-duplicate of train image brown_blight_00077.jpg (Hamming 4, cosine 0.942)"
4002,val,Brown Blight,brown_blight_00098.jpg,"near-duplicate of train image brown_blight_00099.jpg (Hamming 0, cosine 0.976)"
4007,val,Brown Blight,brown_blight_00137.jpg,"near-duplicate of test image brown_blight_00136.jpg (Hamming 8, cosine 0.945)"
4019,val,Brown Blight,brown_blight_00196.jpg,"near-duplicate of train image brown_blight_00197.jpg (Hamming 2, cosine 0.948)"
4026,val,Brown Blight,brown_blight_00254.jpg,"near-duplicate of test image brown_blight_00253.jpg (Hamming 4, cosine 0.966)"
4032,val,Brown Blight,brown_blight_00310.jpg,"near-duplicate of train image brown_blight_00309.jpg (Hamming 8, cosine 0.921)"
4034,val,Brown Blight,brown_blight_00334.jpg,"near-duplicate of test image brown_blight_00337.jpg (Hamming 8, cosine 0.947)"
4056,val,Brown Blight,brown_blight_00473.jpg,"near-duplicate of test image brown_blight_00472.jpg (Hamming 2, cosine 0.978)"
4058,val,Brown Blight,brown_blight_00478.jpg,"near-duplicate of train image brown_blight_00477.jpg (Hamming 8, cosine 0.924)"
4114,val,Gray Blight,gray_blight_00247.jpg,"near-duplicate of train image gray_blight_00246.jpg (Hamming 2, cosine 0.974)"
4118,val,Gray Blight,gray_blight_00269.jpg,"near-duplicate of train image gray_blight_00270.jpg (Hamming 6, cosine 0.959)"
4134,val,Gray Blight,gray_blight_00363.jpg,"near-duplicate of train image gray_blight_00364.jpg (Hamming 2, cosine 0.982)"
4145,val,Gray Blight,gray_blight_00434.jpg,"near-duplicate of train image gray_blight_00435.jpg (Hamming 4, cosine 0.923)"
4280,val,Green mirid bug,green_mirid_bug_00402.jpg,"near-duplicate of train image green_mirid_bug_00430.jpg (Hamming 8, cosine 0.925)"
4294,val,Green mirid bug,green_mirid_bug_00441.jpg,"near-duplicate of test image green_mirid_bug_00447.jpg (Hamming 8, cosine 0.925)"
4300,val,Green mirid bug,green_mirid_bug_00486.jpg,"near-duplicate of train image green_mirid_bug_00487.jpg (Hamming 2, cosine 0.968)"
4304,val,Green mirid bug,green_mirid_bug_00500.jpg,"near-duplicate of train image green_mirid_bug_00499.jpg (Hamming 4, cosine 0.950)"
4316,val,Green mirid bug,green_mirid_bug_00602.jpg,"near-duplicate of train image green_mirid_bug_00603.jpg (Hamming 4, cosine 0.966)"
4325,val,Green mirid bug,green_mirid_bug_00650.jpg,"near-duplicate of train image green_mirid_bug_00651.jpg (Hamming 2, cosine 0.982)"
4359,val,Green mirid bug,green_mirid_bug_00865.jpg,"near-duplicate of train image green_mirid_bug_00866.jpg (Hamming 8, cosine 0.956)"
4432,val,Healthy leaf,healthy_00067.jpg,"near-duplicate of train image healthy_00069.jpg (Hamming 8, cosine 0.938)"
4434,val,Healthy leaf,healthy_00077.jpg,"near-duplicate of train image healthy_00069.jpg (Hamming 8, cosine 0.927)"
4458,val,Healthy leaf,healthy_00201.jpg,"near-duplicate of train image healthy_00199.jpg (Hamming 6, cosine 0.957)"
4482,val,Healthy leaf,healthy_00346.jpg,"near-duplicate of train image healthy_00345.jpg (Hamming 2, cosine 0.959)"
4588,val,Helopeltis,helopeltis_00171.jpg,"near-duplicate of train image helopeltis_00170.jpg (Hamming 6, cosine 0.957)"
4589,val,Helopeltis,helopeltis_00178.jpg,"near-duplicate of train image helopeltis_00179.jpg (Hamming 4, cosine 0.954)"
4597,val,Helopeltis,helopeltis_00211.jpg,"near-duplicate of test image helopeltis_00210.jpg (Hamming 2, cosine 0.975)"
4599,val,Helopeltis,helopeltis_00232.jpg,"near-duplicate of train image helopeltis_00233.jpg (Hamming 8, cosine 0.958)"
4624,val,Helopeltis,helopeltis_00377.jpg,"near-duplicate of train image helopeltis_00376.jpg (Hamming 8, cosine 0.942)"
4692,val,Red spider,red_spider_00199.jpg,"near-duplicate of train image red_spider_00198.jpg (Hamming 2, cosine 0.984)"
4725,val,Red spider,red_spider_00432.jpg,"near-duplicate of test image red_spider_00433.jpg (Hamming 8, cosine 0.962)"
4772,val,Tea algal leaf spot,tea_algal_leaf_spot_00127.jpg,"near-duplicate of train image tea_algal_leaf_spot_00128.jpg (Hamming 8, cosine 0.945)"
4775,val,Tea algal leaf spot,tea_algal_leaf_spot_00137.jpg,"near-duplicate of train image tea_algal_leaf_spot_00136.jpg (Hamming 0, cosine 0.983)"
4776,val,Tea algal leaf spot,tea_algal_leaf_spot_00144.jpg,"near-duplicate of train image tea_algal_leaf_spot_00145.jpg (Hamming 0, cosine 0.977)"
4848,test,Brown Blight,brown_blight_00064.jpg,"near-duplicate of train image brown_blight_00063.jpg (Hamming 6, cosine 0.962)"
4850,test,Brown Blight,brown_blight_00078.jpg,"near-duplicate of train image brown_blight_00077.jpg (Hamming 4, cosine 0.946)"
4851,test,Brown Blight,brown_blight_00088.jpg,"near-duplicate of train image brown_blight_00089.jpg (Hamming 8, cosine 0.953)"
4855,test,Brown Blight,brown_blight_00104.jpg,"near-duplicate of train image brown_blight_00103.jpg (Hamming 4, cosine 0.975)"
4857,test,Brown Blight,brown_blight_00108.jpg,"near-duplicate of train image brown_blight_00109.jpg (Hamming 2, cosine 0.989)"
4860,test,Brown Blight,brown_blight_00119.jpg,"near-duplicate of train image brown_blight_00118.jpg (Hamming 2, cosine 0.979)"
4874,test,Brown Blight,brown_blight_00212.jpg,"near-duplicate of train image brown_blight_00213.jpg (Hamming 6, cosine 0.963)"
4967,test,Gray Blight,gray_blight_00268.jpg,"near-duplicate of train image gray_blight_00270.jpg (Hamming 8, cosine 0.958)"
4968,test,Gray Blight,gray_blight_00279.jpg,"near-duplicate of train image gray_blight_00278.jpg (Hamming 6, cosine 0.933)"
