split,class_name,filename,md5,canonical_id,is_derived,op
test,Brown Blight,UNADJUSTEDNONRAW_thumb_107.jpg,3afc3106abec3caeda1a0011afc5057a,UNADJUSTEDNONRAW_thumb_107,False,
test,Brown Blight,UNADJUSTEDNONRAW_thumb_111.jpg,e60d9debadfd51359653558dab6a27cc,UNADJUSTEDNONRAW_thumb_111,False,
test,Brown Blight,UNADJUSTEDNONRAW_thumb_112.jpg,d577588aeab4e1b5ad616e5bbf1a607e,UNADJUSTEDNONRAW_thumb_112,False,
test,Brown Blight,UNADJUSTEDNONRAW_thumb_113.jpg,c4e70a5b2cf55b58d01d7c709f831d78,UNADJUSTEDNONRAW_thumb_113,False,
test,Brown Blight,UNADJUSTEDNONRAW_thumb_114.jpg,13bc2e70b7a14858afccb8551c8880fa,UNADJUSTEDNONRAW_thumb_114,False,
test,Brown Blight,UNADJUSTEDNONRAW_thumb_117.jpg,12c9709f20156cdc37c27d4056c0910b,UNADJUSTEDNONRAW_thumb_117,False,
test,Brown Blight,UNADJUSTEDNONRAW_thumb_11a.jpg,61ca5fde9a02099d6008e5832f8bc7c9,UNADJUSTEDNONRAW_thumb_11a,False,
test,Brown Blight,UNADJUSTEDNONRAW_thumb_11e.jpg,91b4df16edbc8e692b42f229f0e74eab,UNADJUSTEDNONRAW_thumb_11e,False,
test,Brown Blight,UNADJUSTEDNONRAW_thumb_127.jpg,001ac4da45466040fd3d85f9f8dd970c,UNADJUSTEDNONRAW_thumb_127,False,
test,Brown Blight,UNADJUSTEDNONRAW_thumb_128.jpg,d68cb51b54e906f24eac2bbe9f83e432,UNADJUSTEDNONRAW_thumb_128,False,
test,Brown Blight,UNADJUSTEDNONRAW_thumb_129.jpg,e476424c7eabbbd00b9a73f289c80348,UNADJUSTEDNONRAW_thumb_129,False,
test,Brown Blight,UNADJUSTEDNONRAW_thumb_12e.jpg,66831ab7283d306c791a4d2d08a6ec2b,UNADJUSTEDNONRAW_thumb_12e,False,
test,Brown Blight,UNADJUSTEDNONRAW_thumb_12f.jpg,aa17a9380d3a1d4ab604ffa6b3489560,UNADJUSTEDNONRAW_thumb_12f,False,
test,Brown Blight,UNADJUSTEDNONRAW_thumb_142.jpg,852e7eb919a76db8f1bd9e8caca8a60d,UNADJUSTEDNONRAW_thumb_142,False,
test,Brown Blight,UNADJUSTEDNONRAW_thumb_15c.jpg,98138160529dc63ed26fa640672cded4,UNADJUSTEDNONRAW_thumb_15c,False,
test,Brown Blight,UNADJUSTEDNONRAW_thumb_15f.jpg,a16219c8a828784675fbed33172e27c3,UNADJUSTEDNONRAW_thumb_15f,False,
test,Brown Blight,UNADJUSTEDNONRAW_thumb_166.jpg,24558d3fc52c8936b4bd99dbdc645603,UNADJUSTEDNONRAW_thumb_166,False,
test,Brown Blight,UNADJUSTEDNONRAW_thumb_168.jpg,1300a48f3608b533311f41e25ac5bc6d,UNADJUSTEDNONRAW_thumb_168,False,
test,Brown Blight,UNADJUSTEDNONRAW_thumb_16f.jpg,d5b70bc5ade9786e430415a71a6d8cab,UNADJUSTEDNONRAW_thumb_16f,False,
test,Brown Blight,brown_blight_00008.jpg,5c965f96e1153de9a282a7fafe42cdac,brown_blight_00008,False,
test,Brown Blight,brown_blight_00014.jpg,f992c0c712d17051fe5b0de094c90433,brown_blight_00014,False,
test,Brown Blight,brown_blight_00019.jpg,69f296468de65d3db4ec09027e6ce048,brown_blight_00019,False,
test,Brown Blight,brown_blight_00032.jpg,dacc5b277900e98945ad0f7ee7702256,brown_blight_00032,False,
test,Brown Blight,brown_blight_00040.jpg,f522e5b3c09df549f97a5b95509048c8,brown_blight_00040,False,
test,Brown Blight,brown_blight_00041.jpg,976ae4d075c643f27705d2c99bcb9764,brown_blight_00041,False,
test,Brown Blight,brown_blight_00054.jpg,27b18b528dba220130b3dc81269774a9,brown_blight_00054,False,
test,Brown Blight,brown_blight_00072.jpg,34908bdb7d7efa499fffac63cb468c5d,brown_blight_00072,False,
test,Brown Blight,brown_blight_00090.jpg,398a29bae269cd39af465f8f845dbba1,brown_blight_00090,False,
