rank,image_id,true_label,modal_wrong_label,agreement,unanimous_same_wrong_label,n_arms_wrong,n_arms,p_true_mean,p_modal_mean,source_prefix,near_duplicate_partner,C1_pred,C1_p_pred,C2_pred,C2_p_pred,C4_pred,C4_p_pred,R0_pred,R0_p_pred,R1_pred,R1_p_pred,R2_pred,R2_p_pred,R3_pred,R3_p_pred,TLA_pred,TLA_p_pred,expert_label,expert_notes
1,Gray Blight/gray_blight_00552.jpg,Gray Blight,Red spider,8/8,True,8,8,0.0301,0.8369,gray_blight,,Red spider,0.8162,Red spider,0.8334,Red spider,0.7912,Red spider,0.8383,Red spider,0.8713,Red spider,0.8346,Red spider,0.8627,Red spider,0.8475,Ambiguous,"AMBIGUOUS; low diagnostic confidence. Large brown apical/marginal necrosis and curled blade; Gray Blight remains plausible. The image does not establish Red spider injury, so the model suggestion is insufficient for relabeling. Provisional visual review of contact-sheet thumbnail; not a verified plant-pathologist annotation. Labels/predictions were visible, so review was not blinded. Confirm on original images with a domain expert before changing ground truth."
2,Green mirid bug/green_mirid_bug_01099.jpg,Green mirid bug,Helopeltis,8/8,True,8,8,0.03,0.835,green_mirid_bug,,Helopeltis,0.8122,Helopeltis,0.8348,Helopeltis,0.7775,Helopeltis,0.825,Helopeltis,0.8674,Helopeltis,0.8456,Helopeltis,0.8678,Helopeltis,0.85,Ambiguous,"AMBIGUOUS; numerous small dark reddish-brown spots on a yellow-green blade. Puncture-like injury is compatible with Helopeltis, but Green mirid bug and other spotting cannot be separated without pest evidence and class definitions. Provisional visual review of contact-sheet thumbnail; not a verified plant-pathologist annotation. Labels/predictions were visible, so review was not blinded. Confirm on original images with a domain expert before changing ground truth."
3,Red spider/red_spider_00425.jpg,Red spider,Gray Blight,8/8,True,8,8,0.0279,0.8327,red_spider,,Gray Blight,0.8143,Gray Blight,0.8306,Gray Blight,0.7444,Gray Blight,0.8315,Gray Blight,0.872,Gray Blight,0.8503,Gray Blight,0.8727,Gray Blight,0.8458,Gray Blight,"SUSPECTED MISLABEL; tentative alternative, moderate visual confidence. Elongated marginal lesion with pale tan/gray center and brown border; focal blight-like necrosis favors Gray Blight. Brown blight or other injury remains possible; causal diagnosis is unconfirmed. Provisional visual review of contact-sheet thumbnail; not a verified plant-pathologist annotation. Labels/predictions were visible, so review was not blinded. Confirm on original images with a domain expert before changing ground truth."
4,Brown Blight/brown_blight_00361.jpg,Brown Blight,Tea algal leaf spot,8/8,True,8,8,0.0298,0.8311,brown_blight,,Tea algal leaf spot,0.7958,Tea algal leaf spot,0.8247,Tea algal leaf spot,0.7485,Tea algal leaf spot,0.8392,Tea algal leaf spot,0.869,Tea algal leaf spot,0.8574,Tea algal leaf spot,0.8661,Tea algal leaf spot,0.8479,Tea algal leaf spot,"SUSPECTED MISLABEL; tentative alternative, moderate visual confidence. Numerous discrete pale tan/orange circular spots on a largely green blade favor Tea algal leaf spot. Raised or algal surface texture cannot be resolved; fungal spots remain an alternative. Provisional visual review of contact-sheet thumbnail; not a verified plant-pathologist annotation. Labels/predictions were visible, so review was not blinded. Confirm on original images with a domain expert before changing ground truth."
5,Tea algal leaf spot/tea_algal_leaf_spot_00189.jpg,Tea algal leaf spot,Brown Blight,8/8,True,8,8,0.0346,0.8285,tea_algal_leaf_spot,,Brown Blight,0.8127,Brown Blight,0.8371,Brown Blight,0.7546,Brown Blight,0.8452,Brown Blight,0.8692,Brown Blight,0.8365,Brown Blight,0.8299,Brown Blight,0.8427,Ambiguous,"AMBIGUOUS; folded dark leaf with extensive missing tissue and scattered reddish-brown spots. Folding and damage obscure lesion morphology; neither Brown Blight nor Tea algal leaf spot can be confirmed. Provisional visual review of contact-sheet thumbnail; not a verified plant-pathologist annotation. Labels/predictions were visible, so review was not blinded. Confirm on original images with a domain expert before changing ground truth."
6,Gray Blight/gray_blight_01009.jpg,Gray Blight,Green mirid bug,8/8,True,8,8,0.0502,0.8058,gray_blight,,Green mirid bug,0.796,Green mirid bug,0.8261,Green mirid bug,0.6409,Green mirid bug,0.7887,Green mirid bug,0.8678,Green mirid bug,0.8242,Green mirid bug,0.8512,Green mirid bug,0.8519,Ambiguous,"AMBIGUOUS; sparse dark lesions, holes and marginal tissue loss on the apparent underside. Insect injury is plausible, but Green mirid bug cannot be identified from holes alone; necrotic tissue loss can also accompany blight. No defensible replacement class. Provisional visual review of contact-sheet thumbnail; not a verified plant-pathologist annotation. Labels/predictions were visible, so review was not blinded. Confirm on original images with a domain expert before changing ground truth."
7,Brown Blight/brown_blight_00339.jpg,Brown Blight,Tea algal leaf spot,8/8,True,8,8,0.0907,0.7775,brown_blight,,Tea algal leaf spot,0.7566,Tea algal leaf spot,0.8237,Tea algal leaf spot,0.4265,Tea algal leaf spot,0.8421,Tea algal leaf spot,0.8704,Tea algal leaf spot,0.8591,Tea algal leaf spot,0.8063,Tea algal leaf spot,0.8355,Tea algal leaf spot,"SUSPECTED MISLABEL; tentative alternative, moderate visual confidence. Many discrete orange/tan round spots across a green blade favor Tea algal leaf spot. Surface elevation and sporulation are unresolved, so fungal spotting remains possible. Provisional visual review of contact-sheet thumbnail; not a verified plant-pathologist annotation. Labels/predictions were visible, so review was not blinded. Confirm on original images with a domain expert before changing ground truth."
8,Green mirid bug/green_mirid_bug_00666.jpg,Green mirid bug,Gray Blight,8/8,True,8,8,0.0756,0.7397,green_mirid_bug,,Gray Blight,0.8033,Gray Blight,0.8011,Gray Blight,0.4919,Gray Blight,0.7447,Gray Blight,0.5617,Gray Blight,0.8288,Gray Blight,0.8562,Gray Blight,0.8298,Ambiguous,"AMBIGUOUS; a few small reddish-brown, pale-centered spots on a green blade. Localized feeding injury remains plausible; early fungal spots are also possible. No visible diagnostic feature confirms Gray Blight over the original label. Provisional visual review of contact-sheet thumbnail; not a verified plant-pathologist annotation. Labels/predictions were visible, so review was not blinded. Confirm on original images with a domain expert before changing ground truth."
9,Brown Blight/brown_blight_00343.jpg,Brown Blight,Tea algal leaf spot,8/8,True,8,8,0.135,0.7173,brown_blight,,Tea algal leaf spot,0.6397,Tea algal leaf spot,0.8208,Tea algal leaf spot,0.7351,Tea algal leaf spot,0.7743,Tea algal leaf spot,0.6723,Tea algal leaf spot,0.477,Tea algal leaf spot,0.7892,Tea algal leaf spot,0.8301,Tea algal leaf spot,"SUSPECTED MISLABEL; tentative alternative, moderate visual confidence. Numerous tan/orange round spots favor Tea algal leaf spot, with additional large pale lesions and damaged margins. Mixed injury is possible; the alternative is not a confirmed diagnosis. Provisional visual review of contact-sheet thumbnail; not a verified plant-pathologist annotation. Labels/predictions were visible, so review was not blinded. Confirm on original images with a domain expert before changing ground truth."
10,Green mirid bug/green_mirid_bug_00973.jpg,Green mirid bug,Gray Blight,8/8,True,8,8,0.2154,0.6246,green_mirid_bug,,Gray Blight,0.5898,Gray Blight,0.4781,Gray Blight,0.576,Gray Blight,0.69,Gray Blight,0.6681,Gray Blight,0.8318,Gray Blight,0.5367,Gray Blight,0.6262,Ambiguous,"AMBIGUOUS; several discrete brown/pale-centered lesions with localized tissue loss on a mostly green blade. Insect feeding and fungal leaf spots overlap visually; Gray Blight is not confirmed and the original pest label remains possible. Provisional visual review of contact-sheet thumbnail; not a verified plant-pathologist annotation. Labels/predictions were visible, so review was not blinded. Confirm on original images with a domain expert before changing ground truth."
11,Helopeltis/helopeltis_00464.jpg,Helopeltis,Gray Blight,5/8,False,8,8,0.0503,0.5431,helopeltis,,Gray Blight,0.7856,Gray Blight,0.6915,Green mirid bug,0.451,Gray Blight,0.8038,Green mirid bug,0.8177,Gray Blight,0.8403,Gray Blight,0.8689,Green mirid bug,0.8207,Ambiguous,"AMBIGUOUS; clustered small dark round lesions near the midrib with mild blade distortion. Helopeltis remains plausible; Green mirid bug and fungal spots cannot be excluded. No justified correction from the conflicting model predictions. Provisional visual review of contact-sheet thumbnail; not a verified plant-pathologist annotation. Labels/predictions were visible, so review was not blinded. Confirm on original images with a domain expert before changing ground truth."
12,Green mirid bug/green_mirid_bug_00701.jpg,Green mirid bug,Tea algal leaf spot,6/8,False,8,8,0.0731,0.4797,green_mirid_bug,,Tea algal leaf spot,0.6867,Tea algal leaf spot,0.5224,Gray Blight,0.4843,Tea algal leaf spot,0.5698,Tea algal leaf spot,0.8506,Tea algal leaf spot,0.4448,Gray Blight,0.8175,Tea algal leaf spot,0.5167,Ambiguous,"AMBIGUOUS; sparse small brown spots on a pale blade viewed obliquely/apparently from below. No resolvable algal texture; insect injury and fungal/algal spotting remain possible. Insufficient evidence for Tea algal leaf spot relabeling. Provisional visual review of contact-sheet thumbnail; not a verified plant-pathologist annotation. Labels/predictions were visible, so review was not blinded. Confirm on original images with a domain expert before changing ground truth."
